Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1799518,ROUND,0.3,VS2,K,EX,EX,VG,F,4.24-4.29×2.67,846.08,https://capitalwholesalediamonds.com/product/0-3-ct-round-5780/
1799511,ROUND,0.3,VS2,J,GD,EX,VG,F,4.16-4.22×2.71,847.03,https://capitalwholesalediamonds.com/product/0-3-ct-round-5668/
1782477,ROUND,0.4,IF,O-P,EX,EX,EX,N,4.77-4.80×2.92,847.7,https://capitalwholesalediamonds.com/product/0-4-ct-round-1155/
1795547,ROUND,0.3,SI1,K,EX,EX,EX,F,4.29-4.31×2.67,848.6,https://capitalwholesalediamonds.com/product/0-3-ct-round-5791/
1702833,ROUND,0.56,SI1,Q-R,EX,EX,EX,F,5.25-5.28×3.29,849.06,https://capitalwholesalediamonds.com/product/0-56-ct-round-227/
1787567,ROUND,0.3,VS1,K,VG,EX,VG,N,4.23-4.27×2.70,849.6,https://capitalwholesalediamonds.com/product/0-3-ct-round-5744/
1729355,ROUND,0.3,SI1,I,VG,VG,GD,N,4.35-4.40×2.65,850.1,https://capitalwholesalediamonds.com/product/0-3-ct-round-5552/
1793990,ROUND,0.31,VVS1,O-P,EX,EX,EX,M,4.35-4.38×2.73,851.95,https://capitalwholesalediamonds.com/product/0-31-ct-round-518/
1790639,ROUND,0.4,SI1,M,VG,EX,VG,N,4.64-4.68×2.91,852.5,https://capitalwholesalediamonds.com/product/0-4-ct-round-2243/
1800555,ROUND,0.3,VS1,K,VG,EX,VG,F,4.26-4.30×2.65,852.64,https://capitalwholesalediamonds.com/product/0-3-ct-round-5733/
1795493,ROUND,0.3,VS1,K,VG,EX,VG,N,4.38-4.40×2.58,852.64,https://capitalwholesalediamonds.com/product/0-3-ct-round-5743/
1759194,ROUND,0.3,VS2,K,EX,EX,EX,N,4.33-4.35×2.66,855.16,https://capitalwholesalediamonds.com/product/0-3-ct-round-5766/
1747773,ROUND,0.3,VVS2,I,VG,VG,GD,N,4.42-4.44×2.53,858.74,https://capitalwholesalediamonds.com/product/0-3-ct-round-5355/
1784790,ROUND,0.3,VS1,J,VG,VG,GD,M,4.28-4.35×2.56,859.7,https://capitalwholesalediamonds.com/product/0-3-ct-round-5602/
1799467,ROUND,0.3,VS1,K,VG,EX,VG,N,4.30-4.31×2.62,860.24,https://capitalwholesalediamonds.com/product/0-3-ct-round-5742/
1779733,ROUND,0.3,SI2,D,VG,EX,GD,N,4.26-4.31×2.60,860.29,https://capitalwholesalediamonds.com/product/0-3-ct-round-6410/
1770913,ROUND,0.3,VVS2,K,EX,EX,EX,F,4.38-4.40×2.61,860.73,https://capitalwholesalediamonds.com/product/0-3-ct-round-5727/
1745841,ROUND,0.35,VVS1,K,EX,EX,EX,ST,4.50-4.52×2.81,861.49,https://capitalwholesalediamonds.com/product/0-35-ct-round-1612/
1751616,ROUND,0.3,VS1,K,EX,EX,EX,F,4.38-4.41×2.60,861.76,https://capitalwholesalediamonds.com/product/0-3-ct-round-5752/
1790861,ROUND,0.3,VS2,K,EX,EX,EX,N,4.24-4.27×2.69,863.25,https://capitalwholesalediamonds.com/product/0-3-ct-round-5768/
1789625,ROUND,0.3,VVS2,L,EX,EX,EX,F,4.26-4.28×2.67,863.25,https://capitalwholesalediamonds.com/product/0-3-ct-round-5808/
1790724,ROUND,0.3,VVS2,L,EX,EX,EX,F,4.27-4.30×2.66,863.25,https://capitalwholesalediamonds.com/product/0-3-ct-round-5811/
1784915,ROUND,0.3,SI1,J,VG,VG,GD,N,4.19-4.27×2.68,864.27,https://capitalwholesalediamonds.com/product/0-3-ct-round-5696/
1784795,ROUND,0.3,VS1,K,EX,EX,EX,M,4.27-4.30×2.68,864.27,https://capitalwholesalediamonds.com/product/0-3-ct-round-5762/
1777200,ROUND,0.3,VS1,K,EX,VG,VG,N,4.27-4.29×2.68,864.81,https://capitalwholesalediamonds.com/product/0-3-ct-round-5738/
1795450,ROUND,0.33,VVS1,M,EX,EX,EX,F,4.43-4.46×2.74,866.75,https://capitalwholesalediamonds.com/product/0-33-ct-round-637/
1779746,ROUND,0.3,SI2,G,GD,VG,VG,N,4.30-4.33×2.53,866.82,https://capitalwholesalediamonds.com/product/0-3-ct-round-4894/
1767781,ROUND,0.3,VS2,J,VG,EX,EX,F,4.26-4.29×2.67,866.82,https://capitalwholesalediamonds.com/product/0-3-ct-round-5685/
1795470,ROUND,0.3,VVS2,L,EX,EX,EX,N,4.32-4.34×2.67,867.38,https://capitalwholesalediamonds.com/product/0-3-ct-round-5806/
1781052,ROUND,0.31,VVS1,L,EX,EX,EX,N,4.41-4.44×2.63,867.66,https://capitalwholesalediamonds.com/product/0-31-ct-round-1209/
1799466,ROUND,0.3,VS1,K,GD,VG,VG,N,4.14-4.18×2.70,867.85,https://capitalwholesalediamonds.com/product/0-3-ct-round-5734/
1788925,ROUND,0.31,SI1,K,EX,EX,VG,N,4.33-4.35×2.68,868.22,https://capitalwholesalediamonds.com/product/0-31-ct-round-1206/
1790925,ROUND,0.3,SI1,I,GD,VG,GD,N,4.36-4.38×2.54,868.36,https://capitalwholesalediamonds.com/product/0-3-ct-round-5548/
1792982,ROUND,0.3,VS2,J,GD,EX,VG,N,4.17-4.21×2.69,868.36,https://capitalwholesalediamonds.com/product/0-3-ct-round-5646/
1791646,ROUND,0.31,VS2,J,VG,EX,EX,ST,4.40-4.43×2.67,869.78,https://capitalwholesalediamonds.com/product/0-31-ct-round-1189/
1789823,ROUND,0.3,SI2,I,EX,EX,EX,N,4.36-4.37×2.61,870.35,https://capitalwholesalediamonds.com/product/0-3-ct-round-5556/
1773417,ROUND,0.3,SI1,I,EX,VG,EX,F,4.34-4.36×2.65,870.87,https://capitalwholesalediamonds.com/product/0-3-ct-round-5511/
1799512,ROUND,0.3,VS2,J,GD,GD,GD,N,4.15-4.20×2.68,870.87,https://capitalwholesalediamonds.com/product/0-3-ct-round-5676/
1784796,ROUND,0.32,VS1,L,EX,EX,EX,N,4.35-4.37×2.74,871.82,https://capitalwholesalediamonds.com/product/0-32-ct-round-861/
1771039,ROUND,0.3,SI2,D,VG,GD,VG,ST,4.28-4.30×2.66,871.96,https://capitalwholesalediamonds.com/product/0-3-ct-round-6388/
1773312,ROUND,0.31,VS1,J,F,VG,GD,N,4.50-4.52×2.49,872.38,https://capitalwholesalediamonds.com/product/0-31-ct-round-1179/
1779659,ROUND,0.3,VS2,I,GD,GD,GD,F,4.18-4.24×2.64,873.41,https://capitalwholesalediamonds.com/product/0-3-ct-round-5445/
1779663,ROUND,0.3,VS2,I,GD,VG,GD,F,4.27-4.34×2.55,873.41,https://capitalwholesalediamonds.com/product/0-3-ct-round-5467/
1783684,ROUND,0.3,SI2,E,GD,VG,VG,N,4.16-4.22×2.66,873.43,https://capitalwholesalediamonds.com/product/0-3-ct-round-3753/
1799520,ROUND,0.3,VS2,K,VG,VG,VG,N,4.23-4.27×2.67,873.9,https://capitalwholesalediamonds.com/product/0-3-ct-round-5774/
1756315,ROUND,0.31,VS1,K,EX,VG,EX,F,4.31-4.34×2.65,873.95,https://capitalwholesalediamonds.com/product/0-31-ct-round-1199/
1351398,ROUND,0.23,VVS2,H,EX,EX,EX,N,3.98-3.95X2.39,874.41,https://capitalwholesalediamonds.com/product/0-23-ct-round-2506/
1789803,ROUND,0.3,SI2,D,GD,GD,GD,N,4.13-4.21×2.70,874.95,https://capitalwholesalediamonds.com/product/0-3-ct-round-6397/
1783619,ROUND,0.31,VS2,J,VG,VG,EX,F,4.47-4.49×2.62,875.07,https://capitalwholesalediamonds.com/product/0-31-ct-round-1185/
1784860,ROUND,0.3,VS2,J,GD,EX,GD,N,4.15-4.19×2.71,875.99,https://capitalwholesalediamonds.com/product/0-3-ct-round-5657/
1789736,ROUND,0.3,VS2,J,VG,EX,GD,F,4.26-4.28×2.66,875.99,https://capitalwholesalediamonds.com/product/0-3-ct-round-5679/
1783496,ROUND,0.3,VVS1,K,EX,EX,EX,N,4.29-4.31×2.69,875.99,https://capitalwholesalediamonds.com/product/0-3-ct-round-5714/
1793025,ROUND,0.3,SI2,F,EX,VG,VG,N,4.27-4.31×2.64,876.52,https://capitalwholesalediamonds.com/product/0-3-ct-round-4401/
1789624,ROUND,0.3,VVS2,L,EX,EX,EX,N,4.30-4.31×2.66,876.96,https://capitalwholesalediamonds.com/product/0-3-ct-round-5809/
1790966,ROUND,0.29,VS2,I,VG,VG,VG,N,4.23-4.27×2.64,877.06,https://capitalwholesalediamonds.com/product/0-29-ct-round-100/
1783689,ROUND,0.31,SI2,G,EX,EX,EX,M,4.37-4.39×2.65,877.65,https://capitalwholesalediamonds.com/product/0-31-ct-round-1053/
1789732,ROUND,0.32,VS2,J,EX,EX,EX,N,4.37-4.39×2.73,878.8,https://capitalwholesalediamonds.com/product/0-32-ct-round-840/
1795522,ROUND,0.3,VS2,J,GD,VG,GD,N,4.22-4.29×2.55,878.99,https://capitalwholesalediamonds.com/product/0-3-ct-round-5654/
1790965,ROUND,0.3,SI2,H,EX,EX,VG,F,4.31-4.34×2.64,879.02,https://capitalwholesalediamonds.com/product/0-3-ct-round-5274/
1791698,ROUND,0.3,SI1,J,VG,EX,VG,F,4.30-4.35×2.55,879.02,https://capitalwholesalediamonds.com/product/0-3-ct-round-5690/
1790782,ROUND,0.3,VS1,K,EX,EX,EX,F,4.28-4.31×2.68,879.02,https://capitalwholesalediamonds.com/product/0-3-ct-round-5746/
1790785,ROUND,0.3,VS1,K,EX,VG,VG,N,4.27-4.30×2.66,879.02,https://capitalwholesalediamonds.com/product/0-3-ct-round-5754/
1777315,ROUND,0.3,SI2,H,VG,VG,VG,F,4.25-4.29×2.68,880.02,https://capitalwholesalediamonds.com/product/0-3-ct-round-5289/
1680344,ROUND,0.29,VS2,I,VG,EX,VG,N,4.33-4.34×2.56,880.51,https://capitalwholesalediamonds.com/product/0-29-ct-round-99/
1779676,ROUND,0.31,SI1,D,GD,GD,FR,F,4.29-4.32×2.63,880.86,https://capitalwholesalediamonds.com/product/0-31-ct-round-1338/
1799464,ROUND,0.3,VS1,K,EX,EX,VG,F,4.24-4.28×2.67,882.52,https://capitalwholesalediamonds.com/product/0-3-ct-round-5758/
1795449,ROUND,0.3,VVS1,L,EX,EX,EX,N,4.36-4.39×2.64,882.52,https://capitalwholesalediamonds.com/product/0-3-ct-round-5804/
1767693,ROUND,0.4,VS2,N,EX,EX,EX,N,4.78-4.80×2.88,882.89,https://capitalwholesalediamonds.com/product/0-4-ct-round-2449/
